Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C22",0603,2,10n,
"C10, C12, C14, C16, C19, C20, C7",0603,7,100n,
"C11, C9",0805,2,47u,
"C13, C15, C17",0805,3,4.7u,
"C18, C21, C23, C6, C8",0603,5,1u,
C2,0603,1,22p,
C3,0805,1,10u,
C4,0603,1,2200p,
C5,0805,1,3.3u,
D1,DIOM7959X262N,1,0.55V,
D2,0603,1,GREEN,
D3,0603,1,RED,
D4,0603,1,Blue,
FB1,0603,1,600R,
J1,MOLEX_2171750001,1,2171750001,
J10,PinHeader_1x03_P2.54mm_Vertical,1,X_SERVO_HDR,
J11,PinHeader_1x04_P2.54mm_Vertical,1,GPIO_HDR,
J12,PinHeader_1x02_P2.54mm_Vertical,1,BUCK_EN,
J2,PinHeader_1x07_P2.54mm_Vertical,1,7x1 RECP,
J3,PinHeader_1x02_P2.54mm_Vertical,1,PD_Output,
J5,PinHeader_1x03_P2.54mm_Vertical,1,BOOT_HDR,
J6,USB_Micro-B_Amphenol_10118194-0001LF_Horizontal,1,USB_B_Micro,
J7,PinHeader_1x05_P2.54mm_Vertical,1,SWD,
J8,PinHeader_1x04_P2.54mm_Vertical,1,Touch_Panel_HDR,
J9,PinHeader_1x03_P2.54mm_Vertical,1,Y_SERVO_HDR,
L1,IND_SRR1240-4R7M,1,4.7u,
Q1,SOIC127P600X175-8N,1,DMP3098LSD-13,
Q2,SOT-23,1,NTR2101P,
R1,0603,1,37.4k,
"R10, R12, R13, R16, R19",0603,5,5.1k,
"R11, R17, R18",0603,3,DNP,
"R14, R15, R20, R21, R5, R6, R7",0603,7,2.2k,
R2,0603,1,65.7k,
"R22, R3",0603,2,10k,
R23,0603,1,100,
R4,0603,1,20k,
R8,0603,1,100k,
R9,0603,1,4.6k,
RST_BTN1,SW_SPST_PTS645Sx43SMTR92,1,RST_SW,
U1,VREG_LM5017MR_NOPB,1,TPS54531DDA,
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm,1,CYPD3177-24LQ,
U3,SOT-23-5,1,TLV75533PDBV,
U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM32F042F6Px,
