Designator,Mid X,Mid Y,Rotation,Layer
C1,150.9,-48.275,270.0,top
C10,169.968,-43.133,180.0,top
C11,165.45,-72.113,0.0,top
C12,169.968,-44.784,180.0,top
C13,164.9,-44.55,270.0,top
C14,162.45,-49.25,0.0,top
C15,150.2,-37.1,270.0,top
C16,192.302,-85.161,90.0,top
C17,160.85,-85.45,90.0,top
C18,153.567,-81.097,90.0,top
C19,164.501,-85.65,90.0,top
C2,153.3,-55.0,180.0,top
C20,162.85,-85.65,90.0,top
C21,158.881,-76.742,90.0,top
C22,174.522,-86.05,90.0,top
C23,176.3,-86.05,90.0,top
C3,154.55,-44.6,180.0,top
C4,153.3,-56.8,180.0,top
C5,159.775,-34.85,180.0,top
C6,173.175,-43.15,0.0,top
C7,158.705,-50.25,270.0,top
C8,169.968,-46.435,180.0,top
C9,165.45,-69.7,0.0,top
D1,172.4,-60.5,270.0,top
D2,170.65,-32.3375,270.0,top
D3,175.4,-32.65,270.0,top
D4,161.431,-76.742,270.0,top
FB1,177.8625,-92.8,180.0,top
J1,162.819,-25.449287,180.0,top
J10,147.2,-71.84,0.0,top
J11,191.8,-68.25,180.0,top
J12,146.45,-48.745,0.0,top
J2,192.35,-44.41,180.0,top
J3,146.2,-37.32,0.0,top
J5,177.8625,-96.61,90.0,top
J6,145.95,-88.05,270.0,top
J7,163.41,-96.8,270.0,top
J8,184.6,-59.05,270.0,top
J9,152.3,-71.8,0.0,top
L1,162.2,-61.6,270.0,top
Q1,157.35,-39.95,0.0,top
Q2,181.2,-29.75,0.0,top
R1,150.15,-56.8,180.0,top
R10,178.5,-50.3,0.0,top
R12,180.7,-41.7,90.0,top
R13,178.9,-41.7,270.0,top
R14,188.85,-36.85,0.0,top
R15,188.75,-39.5,0.0,top
R16,175.05,-50.3,0.0,top
R19,182.25,-46.25,270.0,top
R2,152.35,-62.025,270.0,top
R20,188.9,-41.9,0.0,top
R21,188.925,-44.15,0.0,top
R22,174.4335,-92.927,180.0,top
R23,163.681,-76.742,270.0,top
R3,149.85,-62.85,180.0,top
R4,162.75,-44.35,270.0,top
R5,170.65,-29.2,90.0,top
R6,151.25,-41.85,180.0,top
R7,166.45,-50.75,0.0,top
R8,182.15,-33.6,270.0,top
R9,176.25,-29.7,0.0,top
RST_BTN1,185.952,-85.034,0.0,top
U1,154.7,-50.25,270.0,top
U2,170.099,-39.507,270.0,top
U3,157.7635,-80.401,180.0,top
U4,169.3815,-86.431,90.0,top
